rule_no,review_type_name,review_content,target_cond,pair_order,judge_item,result,in_use
120.0,요건심의,상이공무원심의,,1,보상자법2-1-4,해당,True
121.0,요건심의,상이공무원심의,,1,예우법 4-1-15,비해당,True
121.0,요건심의,상이공무원심의,,2,보상법 2-1-4,해당,True
122.0,요건심의,상이공무원심의,,1,예우법 4-1-15,해당,True
122.0,요건심의,상이공무원심의,,2,보상법 2-1-4,비해당,True
123.0,요건심의,상이공무원심의,,1,예우법 4-1-15,비해당,True
123.0,요건심의,상이공무원심의,,2,보상자법2-1-4,비해당,True
124.0,요건심의,상이공무원심의,,1,예우법 4-1-15,해당,True
124.0,요건심의,상이공무원심의,,2,보상자법2-1-4,해당,True
125.0,요건심의,상이공무원심의,,1,예우법 4-1-15,비해당,True
125.0,요건심의,상이공무원심의,,2,보상법 2-1-4,비해당,True
126.0,요건심의,상이공무원심의,,1,예우법 4-1-15,해당,True
126.0,요건심의,상이공무원심의,,2,보상법 2-1-4,해당,True
127.0,요건심의,상이군경심의,,1,예우법 4-1-4,해당,True
128.0,요건심의,상이군경심의,,1,예우법 4-1-4,비해당,True
129.0,요건심의,상이군경심의,,1,예우법 4-1-6,해당,True
130.0,요건심의,상이군경심의,,1,예우법 4-1-6,비해당,True
131.0,요건심의,상이군경심의,,1,보상법 2-1-2,해당,True
132.0,요건심의,상이군경심의,,1,보상법 2-1-2,비해당,True
133.0,요건심의,상이군경심의,,1,보상법 2-1-4,비해당,True
134.0,요건심의,상이군경심의,,1,보상법 2-1-4,해당,True
135.0,요건심의,상이군경심의,,1,특임법 3-2,비해당,True
136.0,요건심의,상이군경심의,,1,특임법 3-2,해당,True
137.0,요건심의,상이군경심의,,1,예우법 4-1-6,비해당,True
137.0,요건심의,상이군경심의,,2,보상법 2-1-2,비해당,True
138.0,요건심의,상이군경심의,,1,예우법 4-1-6,해당,True
138.0,요건심의,상이군경심의,,2,보상법 2-1-2,비해당,True
139.0,요건심의,상이군경심의,,1,예우법 4-1-6,비해당,True
139.0,요건심의,상이군경심의,,2,보상법 2-1-2,해당,True
140.0,요건심의,상이군경심의,,1,예우법 4-1-4,비해당,True
140.0,요건심의,상이군경심의,,2,예우법 4-1-6,비해당,True
141.0,요건심의,상이군경심의,,1,예우법 4-1-4,해당,True
141.0,요건심의,상이군경심의,,2,예우법 4-1-6,해당,True
142.0,요건심의,상이군경심의,,1,예우법 4-1-4,비해당,True
142.0,요건심의,상이군경심의,,2,예우법 4-1-6,해당,True
143.0,요건심의,상이군경심의,,1,예우법 4-1-4,해당,True
143.0,요건심의,상이군경심의,,2,예우법 4-1-6,비해당,True
144.0,요건심의,상이군경심의,,1,예우법 4-1-4,비해당,True
144.0,요건심의,상이군경심의,,2,보상법 2-1-2,해당,True
145.0,요건심의,상이군경심의,,1,예우법 4-1-6,해당,True
145.0,요건심의,상이군경심의,,2,보상법 2-1-2,해당,True
146.0,요건심의,사망군경심의,,1,예우법 4-1-3,비해당,True
147.0,요건심의,사망군경심의,,1,예우법 4-1-5,비해당,True
148.0,요건심의,사망군경심의,,1,보상법 2-1-1,해당,True
149.0,요건심의,사망군경심의,,1,보상법 2-1-1,비해당,True
150.0,요건심의,사망군경심의,,1,예우법 4-1-5,비해당,True
150.0,요건심의,사망군경심의,,2,보상법 2-1-1,비해당,True
151.0,요건심의,사망군경심의,,1,예우법 4-1-5,비해당,True
151.0,요건심의,사망군경심의,,2,보상법 2-1-1,해당,True
152.0,요건심의,사망군경심의,,1,예우법 4-1-5,해당,True
152.0,요건심의,사망군경심의,,2,보상법 2-1-2,비해당,True
153.0,요건심의,사망군경심의,,1,예우법 4-1-5,비해당,True
153.0,요건심의,사망군경심의,,2,보상법 2-1-2,해당,True
154.0,요건심의,사망공무원심의,,1,구 예우법 4-1-14,비해당,True
155.0,요건심의,사망공무원심의,,1,구 예우법 4-1-14,해당,True
156.0,요건심의,사망공무원심의,,1,보상자법2-1-3,비해당,True
157.0,요건심의,사망공무원심의,,1,보상자법2-1-3,해당,True
158.0,요건심의,사망공무원심의,,1,보상법 2-1-3,비해당,True
159.0,요건심의,사망공무원심의,,1,보상법 2-1-3,해당,True
160.0,요건심의,사망공무원심의,,1,예우법 4-1-14,비해당,True
161.0,요건심의,사망공무원심의,,1,예우법 4-1-14,해당,True
162.0,요건심의,사망공무원심의,,1,예우법 4-1-14,비해당,True
162.0,요건심의,사망공무원심의,,2,보상법 2-1-3,비해당,True
163.0,요건심의,사망공무원심의,,1,예우법 4-1-14,해당,True
163.0,요건심의,사망공무원심의,,2,보상법 2-1-3,해당,True
164.0,요건심의,사망공무원심의,,1,예우법 4-1-14,해당,True
164.0,요건심의,사망공무원심의,,2,보상법 2-1-3,비해당,True
165.0,요건심의,사망공무원심의,,1,예우법 4-1-14,비해당,True
165.0,요건심의,사망공무원심의,,2,보상법 2-1-3,해당,True
166.0,요건심의,사망공무원심의,,1,예우법 4-1-14,비해당,True
166.0,요건심의,사망공무원심의,,2,보상자법2-1-3,비해당,True
167.0,요건심의,사망공무원심의,,1,예우법 4-1-14,해당,True
167.0,요건심의,사망공무원심의,,2,보상자법2-1-3,해당,True
168.0,요건심의,사망공무원심의,,1,구 예우법 4-1-14,비해당,True
168.0,요건심의,사망공무원심의,,2,보상법 2-1-3,해당,True
169.0,요건심의,사망공무원심의,,1,구 예우법 4-1-14,해당,True
169.0,요건심의,사망공무원심의,,2,보상법 2-1-3,비해당,True
170.0,요건심의,추가상이 심의,,1,예우법 4-1-6,비해당,True
170.0,요건심의,추가상이 심의,,2,보상법 2-1-4,비해당,True
171.0,요건심의,추가상이 심의,,1,예우법 4-1-6,해당,True
171.0,요건심의,추가상이 심의,,2,보상법 2-1-4,해당,True
172.0,요건심의,추가상이 심의,,1,예우법 4-1-6,해당,True
172.0,요건심의,추가상이 심의,,2,보상법 2-1-4,비해당,True
173.0,요건심의,추가상이 심의,,1,예우법 4-1-6,비해당,True
173.0,요건심의,추가상이 심의,,2,보상법 2-1-4,해당,True
174.0,요건심의,6·18자유상이자심의,,1,예우법 73조,비해당,True
175.0,요건심의,6·18자유상이자심의,,1,예우법 73조,해당,True
176.0,보상심의,법적용대상심의,,1,독립법 제12조 제4항 제1호,비해당,True
177.0,보상심의,법적용대상심의,,1,독립법 제12조 제4항 제1호,해당,True
178.0,보상심의,법적용배제 및 재등록심의,,1,예우법 79-1,비해당,True
179.0,보상심의,법적용배제 및 재등록심의,,1,예우법 79-1,해당,True
180.0,보상심의,법적용배제 및 재등록심의,,1,예우법 79-3,해당,True
180.0,보상심의,법적용배제 및 재등록심의,,2,고엽제법 28-3,해당,True
181.0,보상심의,법적용배제 및 재등록심의,,1,예우법 79-3,비해당,True
181.0,보상심의,법적용배제 및 재등록심의,,2,고엽제법 28-3,비해당,True
182.0,보상심의,법적용배제 및 재등록심의,,1,예우법 79-3,해당,True
182.0,보상심의,법적용배제 및 재등록심의,,2,참전법 39-2,해당,True
183.0,보상심의,법적용배제 및 재등록심의,,1,예우법 79-3,비해당,True
183.0,보상심의,법적용배제 및 재등록심의,,2,참전법 39-2,비해당,True
184.0,보상심의,법적용배제 및 재등록심의,,1,참전법 39-2,비해당,True
184.0,보상심의,법적용배제 및 재등록심의,,2,고엽제법 28-3,비해당,True
185.0,보상심의,법적용배제 및 재등록심의,,1,참전법 39-2,해당,True
185.0,보상심의,법적용배제 및 재등록심의,,2,고엽제법 28-3,해당,True
186.0,보상심의,법적용배제 및 재등록심의,,1,예우법 79-3,비해당,True
186.0,보상심의,법적용배제 및 재등록심의,,2,고엽제법 28-3,비해당,True
186.0,보상심의,법적용배제 및 재등록심의,,3,참전법 39-2,비해당,True
187.0,보상심의,법적용배제 및 재등록심의,,1,예우법 79-3,해당,True
187.0,보상심의,법적용배제 및 재등록심의,,2,고엽제법 28-3,해당,True
187.0,보상심의,법적용배제 및 재등록심의,,3,참전법 39-2,해당,True
188.0,보상심의,법적용배제 및 재등록심의,,1,예우법 79-1,비해당,True
188.0,보상심의,법적용배제 및 재등록심의,,2,고엽제법 28-1,비해당,True
189.0,보상심의,법적용배제 및 재등록심의,,1,예우법 79-1,해당,True
189.0,보상심의,법적용배제 및 재등록심의,,2,고엽제법 28-1,해당,True
190.0,고엽제심의,고엽제후유(의)증심의,,1,고엽제법 2-2,해당,True
190.0,고엽제심의,고엽제후유(의)증심의,,2,고엽제법 2-3,비해당,True
191.0,고엽제심의,고엽제후유(의)증심의,,1,고엽제법 2-2,비해당,True
191.0,고엽제심의,고엽제후유(의)증심의,,2,고엽제법 2-3,해당,True
192.0,보상심의,법적용배제 및 재등록심의,1개,1,참전법 39-3,해당,True
193.0,보상심의,법적용배제 및 재등록심의,1개,1,참전법 39-3,비해당,True
212.0,보상심의,법적용대상심의,,1,참전법 3조,해당,True
213.0,보상심의,법적용대상심의,,1,참전법 3조,비해당,True
